task,model,fold,r2,rmse,mae,target
picnicScene,acoustic,2,0.12905952176472446,4.896924341014515,3.972071542775072,SemanticFluencyScore
picnicScene,acoustic,3,0.033914660551767395,5.811996748267283,4.469442361569115,SemanticFluencyScore
picnicScene,acoustic,4,0.11478659657044865,5.317649689182656,4.211834550776115,SemanticFluencyScore
picnicScene,linguistic+acoustic,0,0.18410012440168932,5.293123361656188,4.083841089446858,SemanticFluencyScore
picnicScene,linguistic+acoustic,1,0.17707667834434537,5.1023086982487005,4.113242469883245,SemanticFluencyScore
picnicScene,linguistic+acoustic,2,0.13341135059550313,4.884674787559678,4.012918065173159,SemanticFluencyScore
picnicScene,linguistic+acoustic,3,0.14671793197995797,5.462153821311008,4.230256910858712,SemanticFluencyScore
picnicScene,linguistic+acoustic,4,0.22882462903903888,4.963320371494954,3.9678560386824926,SemanticFluencyScore
picnicScene,full,0,0.1954611738500216,5.256141957278473,4.064854296802352,SemanticFluencyScore
picnicScene,full,1,0.17413956168844535,5.11140597832346,4.106042326373688,SemanticFluencyScore
picnicScene,full,2,0.1467349330556924,4.8469790125945735,4.005792434035255,SemanticFluencyScore
picnicScene,full,3,0.1508191995631284,5.4490111933209455,4.208516110485714,SemanticFluencyScore
picnicScene,full,4,0.24097882840089258,4.924052540964443,3.9372427171883375,SemanticFluencyScore
journaling,baseline,0,-0.008312000047947965,5.884249108813683,4.6744220163909285,SemanticFluencyScore
journaling,baseline,1,-0.0013606744149325944,5.628365745917383,4.470666383250079,SemanticFluencyScore
journaling,baseline,2,-0.005396918933277206,5.261358941491973,4.303298857703003,SemanticFluencyScore
journaling,baseline,3,-0.017437658588599803,5.964465363589154,4.632862931028821,SemanticFluencyScore
journaling,baseline,4,-0.00020776913201547842,5.652503567894628,4.510619427717874,SemanticFluencyScore
journaling,demographics,0,-0.04922619906410852,6.0024443941407775,4.7557393750004735,SemanticFluencyScore
journaling,demographics,1,0.028857343498551957,5.542791734440648,4.337953020183675,SemanticFluencyScore
journaling,demographics,2,0.04993703232978741,5.114525537136843,4.044958715301982,SemanticFluencyScore
journaling,demographics,3,0.023031604552013363,5.844641455672497,4.413414914752192,SemanticFluencyScore
journaling,demographics,4,0.01832578388531214,5.599889089079249,4.406028952570564,SemanticFluencyScore
journaling,linguistic,0,0.06095590126031436,5.678538521083832,4.43936391460545,SemanticFluencyScore
journaling,linguistic,1,0.0863095416050349,5.376338322658886,4.268319797451231,SemanticFluencyScore
journaling,linguistic,2,0.07596722275401668,5.043974063408309,4.10507882695672,SemanticFluencyScore
journaling,linguistic,3,0.060606137164966656,5.731146051761143,4.354793745414636,SemanticFluencyScore
journaling,linguistic,4,0.10743172304596948,5.339695072790438,4.189186828100657,SemanticFluencyScore
journaling,acoustic,0,0.10008999004367825,5.55895455486988,4.163122037092219,SemanticFluencyScore
journaling,acoustic,1,0.011201105727311922,5.592951218649486,4.5504975983228375,SemanticFluencyScore
journaling,acoustic,2,0.0020705173152435474,5.241783544466984,4.337714722250498,SemanticFluencyScore
journaling,acoustic,3,0.03076129672322736,5.821474383693214,4.446210851028996,SemanticFluencyScore
journaling,acoustic,4,0.053072230137439114,5.499891979507895,4.2935071153189455,SemanticFluencyScore
journaling,linguistic+acoustic,0,0.15000192579917515,5.4025967526621175,4.182071421121208,SemanticFluencyScore
journaling,linguistic+acoustic,1,0.13925432153721307,5.218245062728241,4.187047109394384,SemanticFluencyScore
journaling,linguistic+acoustic,2,0.13038315060288364,4.8932018278303575,3.94651456425348,SemanticFluencyScore
journaling,linguistic+acoustic,3,0.1291897217564122,5.517970699330113,4.151827601321321,SemanticFluencyScore
journaling,linguistic+acoustic,4,0.1773302976248462,5.126352723914638,4.025002022381669,SemanticFluencyScore
journaling,full,0,0.15418199924383713,5.389296084666445,4.182029694286055,SemanticFluencyScore
journaling,full,1,0.1483317381171012,5.190656348400554,4.166399774632381,SemanticFluencyScore
journaling,full,2,0.13909100351456716,4.868641306975834,3.927483400132746,SemanticFluencyScore
journaling,full,3,0.1391707191657101,5.486256801984785,4.11359771445971,SemanticFluencyScore
journaling,full,4,0.19695891084756256,5.064827015503043,3.9920833884039633,SemanticFluencyScore
