Subject_ID,Age,Gender,Education,Language,Country,Socioeconomic,age_group,edu_group,ses_group,strat_group,fold
201,76.0,m,bachelor,english_british,uk,5.0,over75,high,middle,m_uk_over75_high_middle,5
202,67.0,f,high_school,english_british,uk,8.0,65to75,medium,high,f_uk_65to75_medium_high,3
203,67.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,1
204,61.0,m,high_school,english_british,uk,2.0,under65,medium,low,m_uk_under65_medium_low,4
205,79.0,m,high_school,english_british,uk,7.0,over75,medium,middle,m_uk_over75_medium_middle,3
206,63.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,5
207,63.0,f,high_school,english_british,uk,5.0,under65,medium,middle,f_uk_under65_medium_middle,1
208,63.0,m,bachelor,english_british,uk,4.0,under65,high,middle,m_uk_under65_high_middle,1
209,65.0,m,bachelor,english_british,uk,4.0,65to75,high,middle,m_uk_65to75_high_middle,2
210,65.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,3
211,69.0,f,high_school,english_british,uk,7.0,65to75,medium,middle,f_uk_65to75_medium_middle,2
212,75.0,f,phd,english_british,uk,7.0,65to75,high,middle,f_uk_65to75_high_middle,3
213,61.0,m,bachelor,english_british,uk,4.0,under65,high,middle,m_uk_under65_high_middle,1
214,63.0,m,master,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,5
215,62.0,f,bachelor,english_british,uk,4.0,under65,high,middle,f_uk_under65_high_middle,2
216,58.0,f,high_school,english_british,uk,7.0,under65,medium,middle,f_uk_under65_medium_middle,4
217,69.0,m,bachelor,english_british,uk,5.0,65to75,high,middle,m_uk_65to75_high_middle,3
218,78.0,f,bachelor,english_british,uk,8.0,over75,high,high,f_uk_over75_high_high,5
219,70.0,f,vocational,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,5
220,68.0,m,bachelor,english_british,uk,7.0,65to75,high,middle,m_uk_65to75_high_middle,4
222,62.0,m,high_school,english_british,uk,4.0,under65,medium,middle,m_uk_under65_medium_middle,3
224,61.0,m,less_than_highschool,english_british,uk,3.0,under65,low,low,m_uk_under65_low_low,2
225,61.0,m,less_than_highschool,english_british,uk,4.0,under65,low,middle,m_uk_under65_low_middle,1
226,77.0,m,high_school,english_british,uk,7.0,over75,medium,middle,m_uk_over75_medium_middle,5
228,68.0,m,phd,english_british,uk,9.0,65to75,high,high,m_uk_65to75_high_high,3
229,69.0,f,phd,english_british,uk,7.0,65to75,high,middle,f_uk_65to75_high_middle,3
230,70.0,m,high_school,english_british,uk,6.0,65to75,medium,middle,m_uk_65to75_medium_middle,1
232,68.0,f,high_school,english_british,uk,5.0,65to75,medium,middle,f_uk_65to75_medium_middle,2
233,63.0,f,high_school,english_british,uk,6.0,under65,medium,middle,f_uk_under65_medium_middle,2
234,60.0,m,high_school,english_british,uk,6.0,under65,medium,middle,m_uk_under65_medium_middle,1
237,63.0,f,high_school,english_british,uk,3.0,under65,medium,low,f_uk_under65_medium_low,5
239,63.0,m,high_school,english_british,uk,5.0,under65,medium,middle,m_uk_under65_medium_middle,1
241,80.0,f,high_school,english_british,uk,5.0,over75,medium,middle,f_uk_over75_medium_middle,5
242,71.0,f,high_school,english_british,uk,8.0,65to75,medium,high,f_uk_65to75_medium_high,2
243,60.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,1
244,67.0,m,less_than_highschool,english_british,uk,6.0,65to75,low,middle,m_uk_65to75_low_middle,5
247,65.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,2
248,60.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,3
249,63.0,m,bachelor,english_british,uk,6.0,under65,high,middle,m_uk_under65_high_middle,2
250,63.0,m,bachelor,english_british,uk,6.0,under65,high,middle,m_uk_under65_high_middle,4
251,66.0,m,bachelor,english_british,uk,3.0,65to75,high,low,m_uk_65to75_high_low,4
252,74.0,f,high_school,english_british,uk,8.0,65to75,medium,high,f_uk_65to75_medium_high,4
253,60.0,f,high_school,english_british,uk,7.0,under65,medium,middle,f_uk_under65_medium_middle,1
254,65.0,f,vocational,english_american,usa,7.0,65to75,medium,middle,f_usa_65to75_medium_middle,3
257,71.0,m,high_school,english_american,usa,5.0,65to75,medium,middle,m_usa_65to75_medium_middle,1
258,62.0,m,vocational,english_american,usa,3.0,under65,medium,low,m_usa_under65_medium_low,3
260,66.0,m,bachelor,english_british,uk,7.0,65to75,high,middle,m_uk_65to75_high_middle,3
261,63.0,f,vocational,english_american,usa,4.0,under65,medium,middle,f_usa_under65_medium_middle,1
262,61.0,f,master,english_american,usa,7.0,under65,high,middle,f_usa_under65_high_middle,2
263,63.0,m,master,english_american,usa,5.0,under65,high,middle,m_usa_under65_high_middle,5
264,71.0,f,vocational,english_american,usa,7.0,65to75,medium,middle,f_usa_65to75_medium_middle,3
266,65.0,f,bachelor,english_american,usa,7.0,65to75,high,middle,f_usa_65to75_high_middle,4
267,62.0,f,master,english_british,usa,3.0,under65,high,low,f_usa_under65_high_low,3
268,68.0,f,master,english_american,usa,3.0,65to75,high,low,f_usa_65to75_high_low,1
269,62.0,f,bachelor,english_american,usa,8.0,under65,high,high,f_usa_under65_high_high,3
270,61.0,f,bachelor,english_american,usa,4.0,under65,high,middle,f_usa_under65_high_middle,2
271,65.0,f,master,english_american,usa,8.0,65to75,high,high,f_usa_65to75_high_high,1
272,63.0,f,vocational,english_american,usa,2.0,under65,medium,low,f_usa_under65_medium_low,1
274,60.0,f,vocational,english_american,usa,3.0,under65,medium,low,f_usa_under65_medium_low,4
275,60.0,m,high_school,english_american,usa,3.0,under65,medium,low,m_usa_under65_medium_low,4
276,72.0,m,high_school,english_american,usa,5.0,65to75,medium,middle,m_usa_65to75_medium_middle,2
277,63.0,m,high_school,english_american,usa,5.0,under65,medium,middle,m_usa_under65_medium_middle,2
279,62.0,f,high_school,english_american,usa,3.0,under65,medium,low,f_usa_under65_medium_low,4
282,60.0,m,less_than_highschool,english_american,usa,3.0,under65,low,low,m_usa_under65_low_low,5
283,65.0,m,bachelor,english_american,usa,5.0,65to75,high,middle,m_usa_65to75_high_middle,5
284,62.0,m,high_school,english_american,usa,5.0,under65,medium,middle,m_usa_under65_medium_middle,4
288,61.0,f,bachelor,english_american,usa,7.0,under65,high,middle,f_usa_under65_high_middle,5
289,60.0,f,high_school,english_american,usa,4.0,under65,medium,middle,f_usa_under65_medium_middle,3
290,68.0,f,master,english_american,usa,9.0,65to75,high,high,f_usa_65to75_high_high,4
291,66.0,m,high_school,english_american,usa,7.0,65to75,medium,middle,m_usa_65to75_medium_middle,5
292,60.0,f,bachelor,english_british,uk,4.0,under65,high,middle,f_uk_under65_high_middle,4
293,60.0,f,high_school,english_american,usa,3.0,under65,medium,low,f_usa_under65_medium_low,2
294,60.0,f,vocational,english_american,usa,7.0,under65,medium,middle,f_usa_under65_medium_middle,2
295,70.0,m,master,english_american,usa,6.0,65to75,high,middle,m_usa_65to75_high_middle,4
297,69.0,f,vocational,english_american,usa,4.0,65to75,medium,middle,f_usa_65to75_medium_middle,1
298,64.0,m,bachelor,english_american,usa,8.0,under65,high,high,m_usa_under65_high_high,1
300,63.0,f,high_school,english_american,usa,4.0,under65,medium,middle,f_usa_under65_medium_middle,5
301,69.0,f,high_school,english_american,usa,4.0,65to75,medium,middle,f_usa_65to75_medium_middle,1
303,61.0,m,phd,english_other,usa,5.0,under65,high,middle,m_usa_under65_high_middle,5
304,67.0,f,high_school,english_american,usa,5.0,65to75,medium,middle,f_usa_65to75_medium_middle,5
305,65.0,m,high_school,english_american,usa,3.0,65to75,medium,low,m_usa_65to75_medium_low,1
306,64.0,f,high_school,english_american,usa,6.0,under65,medium,middle,f_usa_under65_medium_middle,3
311,66.0,m,bachelor,english_american,usa,8.0,65to75,high,high,m_usa_65to75_high_high,3
312,66.0,f,bachelor,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,2
314,66.0,f,bachelor,english_american,usa,5.0,65to75,high,middle,f_usa_65to75_high_middle,3
315,64.0,f,high_school,english_american,usa,3.0,under65,medium,low,f_usa_under65_medium_low,1
318,73.0,m,bachelor,english_american,usa,5.0,65to75,high,middle,m_usa_65to75_high_middle,5
319,72.0,f,bachelor,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,1
321,67.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,1
322,66.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,5
324,61.0,f,master,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,1
325,63.0,f,high_school,english_british,uk,3.0,under65,medium,low,f_uk_under65_medium_low,4
326,60.0,m,bachelor,english_british,uk,5.0,under65,high,middle,m_uk_under65_high_middle,3
327,65.0,m,bachelor,english_british,uk,4.0,65to75,high,middle,m_uk_65to75_high_middle,4
328,68.0,m,high_school,english_british,uk,3.0,65to75,medium,low,m_uk_65to75_medium_low,1
329,63.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,3
330,72.0,m,high_school,english_british,uk,6.0,65to75,medium,middle,m_uk_65to75_medium_middle,1
331,63.0,f,high_school,english_british,uk,3.0,under65,medium,low,f_uk_under65_medium_low,1
335,69.0,m,bachelor,english_british,uk,4.0,65to75,high,middle,m_uk_65to75_high_middle,2
336,64.0,f,vocational,english_british,uk,5.0,under65,medium,middle,f_uk_under65_medium_middle,2
337,64.0,m,high_school,english_british,uk,7.0,under65,medium,middle,m_uk_under65_medium_middle,5
338,66.0,f,high_school,english_british,uk,7.0,65to75,medium,middle,f_uk_65to75_medium_middle,4
339,68.0,m,bachelor,english_british,uk,6.0,65to75,high,middle,m_uk_65to75_high_middle,4
341,70.0,f,master,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,5
342,61.0,f,less_than_highschool,english_british,uk,6.0,under65,low,middle,f_uk_under65_low_middle,3
343,63.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,1
344,63.0,f,bachelor,english_british,uk,4.0,under65,high,middle,f_uk_under65_high_middle,5
345,77.0,m,bachelor,english_british,uk,5.0,over75,high,middle,m_uk_over75_high_middle,4
346,62.0,f,phd,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,1
347,59.0,f,master,english_british,uk,4.0,under65,high,middle,f_uk_under65_high_middle,4
348,64.0,m,bachelor,english_british,uk,4.0,under65,high,middle,m_uk_under65_high_middle,4
349,68.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,1
354,62.0,f,phd,english_british,uk,4.0,under65,high,middle,f_uk_under65_high_middle,3
355,59.0,m,high_school,english_british,uk,7.0,under65,medium,middle,m_uk_under65_medium_middle,2
356,65.0,f,phd,english_british,uk,7.0,65to75,high,middle,f_uk_65to75_high_middle,5
357,66.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,3
358,70.0,m,less_than_highschool,english_british,uk,4.0,65to75,low,middle,m_uk_65to75_low_middle,1
359,60.0,f,high_school,english_british,uk,5.0,under65,medium,middle,f_uk_under65_medium_middle,4
360,72.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,2
361,72.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,2
362,63.0,m,less_than_highschool,english_british,uk,5.0,under65,low,middle,m_uk_under65_low_middle,2
363,62.0,f,high_school,english_british,uk,6.0,under65,medium,middle,f_uk_under65_medium_middle,1
364,66.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,5
365,63.0,m,less_than_highschool,english_british,uk,4.0,under65,low,middle,m_uk_under65_low_middle,3
366,65.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,3
367,68.0,f,high_school,english_british,uk,7.0,65to75,medium,middle,f_uk_65to75_medium_middle,5
368,60.0,f,bachelor,english_british,uk,5.0,under65,high,middle,f_uk_under65_high_middle,5
369,65.0,m,vocational,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,4
371,62.0,m,bachelor,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,5
372,64.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,3
373,70.0,f,bachelor,english_british,uk,8.0,65to75,high,high,f_uk_65to75_high_high,5
374,62.0,f,high_school,english_british,uk,6.0,under65,medium,middle,f_uk_under65_medium_middle,3
375,68.0,m,high_school,english_british,uk,5.0,65to75,medium,middle,m_uk_65to75_medium_middle,4
376,62.0,m,master,english_british,uk,6.0,under65,high,middle,m_uk_under65_high_middle,4
377,66.0,m,phd,english_british,uk,9.0,65to75,high,high,m_uk_65to75_high_high,5
378,60.0,m,master,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,2
379,67.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,5
381,76.0,m,master,english_british,uk,3.0,over75,high,low,m_uk_over75_high_low,2
382,64.0,m,vocational,english_british,uk,3.0,under65,medium,low,m_uk_under65_medium_low,3
384,61.0,m,master,english_british,uk,7.0,under65,high,middle,m_uk_under65_high_middle,1
385,63.0,f,vocational,english_british,uk,5.0,under65,medium,middle,f_uk_under65_medium_middle,3
386,69.0,m,master,english_british,uk,5.0,65to75,high,middle,m_uk_65to75_high_middle,5
387,70.0,m,master,english_british,uk,5.0,65to75,high,middle,m_uk_65to75_high_middle,4
388,64.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,5
389,71.0,m,master,english_british,uk,6.0,65to75,high,middle,m_uk_65to75_high_middle,1
390,70.0,f,bachelor,english_british,uk,3.0,65to75,high,low,f_uk_65to75_high_low,5
392,63.0,f,master,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,3
393,78.0,m,bachelor,english_british,uk,6.0,over75,high,middle,m_uk_over75_high_middle,1
394,60.0,f,vocational,english_british,uk,6.0,under65,medium,middle,f_uk_under65_medium_middle,2
395,72.0,f,vocational,english_british,uk,7.0,65to75,medium,middle,f_uk_65to75_medium_middle,2
396,61.0,f,high_school,english_british,uk,6.0,under65,medium,middle,f_uk_under65_medium_middle,3
397,69.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,1
399,75.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,3
400,62.0,f,bachelor,english_other,uk,4.0,under65,high,middle,f_uk_under65_high_middle,2
401,60.0,f,vocational,english_british,uk,3.0,under65,medium,low,f_uk_under65_medium_low,4
402,60.0,m,bachelor,english_british,uk,9.0,under65,high,high,m_uk_under65_high_high,1
403,61.0,m,less_than_highschool,english_british,uk,6.0,under65,low,middle,m_uk_under65_low_middle,5
404,68.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,2
406,67.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,3
407,63.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,3
409,61.0,m,high_school,english_british,uk,7.0,under65,medium,middle,m_uk_under65_medium_middle,3
410,60.0,f,high_school,english_british,uk,4.0,under65,medium,middle,f_uk_under65_medium_middle,3
411,63.0,f,high_school,english_british,uk,5.0,under65,medium,middle,f_uk_under65_medium_middle,4
415,68.0,m,high_school,english_british,uk,7.0,65to75,medium,middle,m_uk_65to75_medium_middle,3
416,61.0,m,master,english_british,uk,8.0,under65,high,high,m_uk_under65_high_high,5
417,65.0,f,high_school,english_british,uk,5.0,65to75,medium,middle,f_uk_65to75_medium_middle,3
419,62.0,m,high_school,english_british,uk,3.0,under65,medium,low,m_uk_under65_medium_low,3
420,64.0,f,bachelor,english_british,uk,5.0,under65,high,middle,f_uk_under65_high_middle,4
421,76.0,f,high_school,english_british,uk,3.0,over75,medium,low,f_uk_over75_medium_low,3
423,60.0,m,bachelor,english_british,uk,5.0,under65,high,middle,m_uk_under65_high_middle,3
424,65.0,m,phd,english_british,uk,7.0,65to75,high,middle,m_uk_65to75_high_middle,1
425,62.0,f,bachelor,english_british,uk,7.0,under65,high,middle,f_uk_under65_high_middle,2
427,60.0,f,high_school,english_british,uk,7.0,under65,medium,middle,f_uk_under65_medium_middle,1
428,68.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,3
429,66.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,5
430,73.0,f,bachelor,english_british,uk,6.0,65to75,high,middle,f_uk_65to75_high_middle,2
431,63.0,f,bachelor,english_british,uk,6.0,under65,high,middle,f_uk_under65_high_middle,1
432,65.0,f,high_school,english_british,uk,6.0,65to75,medium,middle,f_uk_65to75_medium_middle,1
433,73.0,m,vocational,english_british,uk,6.0,65to75,medium,middle,m_uk_65to75_medium_middle,4
434,68.0,m,bachelor,english_british,uk,5.0,65to75,high,middle,m_uk_65to75_high_middle,2
436,61.0,f,high_school,english_american,usa,3.0,under65,medium,low,f_usa_under65_medium_low,3
437,66.0,m,high_school,english_british,uk,6.0,65to75,medium,middle,m_uk_65to75_medium_middle,5
438,70.0,f,phd,english_american,usa,5.0,65to75,high,middle,f_usa_65to75_high_middle,5
439,65.0,f,bachelor,english_british,uk,5.0,65to75,high,middle,f_uk_65to75_high_middle,2
441,69.0,f,high_school,english_american,usa,5.0,65to75,medium,middle,f_usa_65to75_medium_middle,2
443,63.0,m,bachelor,english_american,usa,4.0,under65,high,middle,m_usa_under65_high_middle,3
444,64.0,m,high_school,english_american,usa,6.0,under65,medium,middle,m_usa_under65_medium_middle,1
445,60.0,f,master,english_american,usa,6.0,under65,high,middle,f_usa_under65_high_middle,4
446,64.0,m,high_school,english_american,usa,3.0,under65,medium,low,m_usa_under65_medium_low,3
447,60.0,f,bachelor,english_american,usa,7.0,under65,high,middle,f_usa_under65_high_middle,1
448,65.0,f,phd,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,3
449,68.0,f,high_school,english_american,usa,4.0,65to75,medium,middle,f_usa_65to75_medium_middle,5
450,67.0,f,phd,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,4
451,67.0,f,high_school,english_american,usa,6.0,65to75,medium,middle,f_usa_65to75_medium_middle,4
454,65.0,f,bachelor,english_american,usa,6.0,65to75,high,middle,f_usa_65to75_high_middle,1
455,61.0,f,bachelor,english_american,usa,4.0,under65,high,middle,f_usa_under65_high_middle,5
459,62.0,m,master,english_american,usa,7.0,under65,high,middle,m_usa_under65_high_middle,1
461,67.0,m,high_school,english_american,usa,3.0,65to75,medium,low,m_usa_65to75_medium_low,5
462,75.0,m,master,english_american,usa,6.0,65to75,high,middle,m_usa_65to75_high_middle,2
463,71.0,f,high_school,english_american,usa,4.0,65to75,medium,middle,f_usa_65to75_medium_middle,5
464,63.0,f,high_school,english_american,usa,3.0,under65,medium,low,f_usa_under65_medium_low,5
