WORD	AoA (Yrs)	AoA (100-700)	IMG	FAM
sought	8.1	493	205	445
soul	7.6	466	280	521
soup	4.8	260	608	537
sour	6.4	353	358	499
source	8.3	485	250	499
soviet	11.2	700	310	381
soya	10.1	616	341	456
spark	6.3	368	552	465
spear	6.6	376	557	440
special	4.7	259	256	596
sphere	7.5	442	553	439
spin	4.8	254	395	475
spine	7.3	423	543	492
spire	7.2	438	483	426
spit	4.7	255	517	505
sponge	5	268	566	513
spooky	5.9	353	413	512
sport	4.6	246	546	617
spread	5.8	328	425	568
spring	5.1	269	526	499
spur	8.7	518	404	412
squad	7.5	438	432	488
squash	5.1	283	483	533
squat	8	492	418	445
squeeze	4.9	266	472	497
stake	7.5	446	469	473
stale	6.4	368	353	488
stall	6.2	354	441	483
stammer	8.2	507	343	422
stance	9.3	574	154	449
star	4	197	640	514
stare	5.7	334	405	540
stark	8	477	214	429
startle	7.3	438	353	477
starve	6.4	380	395	564
status	8.9	553	225	485
steamer	8	477	360	447
steel	7.3	433	516	485
steep	5.9	341	461	547
steer	6.2	356	365	460
stem	5.9	335	421	465
stern	7.3	425	329	454
steroid	11.1	692	329	433
steward	8.2	491	438	453
stick	4.6	255	444	532
stiff	5.8	330	376	532
stingy	7.6	449	275	499
stir	5.6	298	475	550
stock	8.2	493	300	479
stole	5.6	310	251	523
stolen	5.4	302	311	520
stomach	4.7	260	520	558
stone	4.1	206	615	513
storage	6.8	406	403	512
storey	7	407	384	464
storm	4.9	261	596	525
stout	9.5	585	316	428
strand	7.1	420	356	479
strap	5.4	307	474	510
stray	6.4	373	238	472
streak	7.8	487	363	449
stream	5.4	299	580	495
stretch	5.9	349	420	572
strict	6	353	300	536
strife	9.4	585	234	397
string	4.6	243	620	499
strip	6.9	400	464	505
strode	7.8	472	310	447
stroke	5.4	299	390	478
stroll	6.2	359	384	495
struck	6.2	353	334	479
strung	7.2	420	304	438
stubble	7.6	446	587	504
stuck	5.1	279	351	547
stumble	6.3	366	433	482
suburb	8.6	524	465	472
sugar	4.2	213	596	654
sulky	5.3	298	350	510
sulphur	9.8	610	368	384
sultan	9.1	568	409	380
sung	5.6	313	351	497
sunk	5.6	313	386	476
super	5.1	283	220	572
superb	6.1	352	190	546
supreme	8.4	510	185	456
surf	6.3	368	580	479
surge	8.7	533	256	445
surplus	10.8	663	256	461
survive	6.4	368	311	512
suspend	7.9	472	295	479
sustain	9.3	574	148	476
swamp	6.7	400	555	415
sway	7.4	440	321	472
sweat	6.1	338	481	562
swept	5.9	330	371	493
swift	7.1	394	323	443
swindle	9.8	607	269	425
swing	4.7	254	590	496
symbol	6.9	413	369	514
symptom	7.8	456	208	520
syringe	8.1	485	543	453
syrup	5.3	296	535	471
taboo	10.1	637	154	429
tail	11.1	210	571	476
taken	4.2	276	195	622
tale	5.3	283	285	491
tall	5.1	214	515	579
tandem	4	505	369	405
tango	8.4	516	529	450
tank	5.4	296	572	439
taper	9.8	581	208	369
tariff	10.7	655	237	436
taught	6	339	295	572
teach	5.1	286	412	577
team	5.4	296	517	565
tedious	9.8	602	232	492
teeth	3.7	198	636	588
tense	7.9	472	286	532
tension	7.7	466	319	514
tenth	5.4	299	325	466
tepid	10.2	632	265	397
texture	7.9	480	405	509
theatre	5.9	330	566	520
theme	7.2	414	154	524
thick	5.2	289	453	577
thigh	6.4	361	543	537
thin	4.8	254	525	600
thirst	4.3	210	375	577
thirsty	4	199	378	647
thirty	5.1	286	429	510
thorn	5.9	341	595	469
throat	5.4	307	538	541
throne	5.6	308	583	415
thrust	8.3	498	384	469
tickle	4.2	229	450	529
tight	5.4	298	325	586
till	5.7	320	520	579
tilt	7.4	453	421	482
tinsel	4.6	243	591	435
tiny	4.6	248	463	581
tire	7.4	428	293	454
tissue	4.8	263	628	601
titan	11.1	700	330	376
toddle	6	356	320	415
toga	9.7	586	444	394
toilet	3.4	164	632	666
toll	8.4	492	302	413
tone	7	423	283	520
tongue	4	199	628	534
tooth	4.1	206	602	565
torch	5	268	627	479
toss	6.9	415	370	468
tough	6.2	364	290	534
tour	6.7	394	354	483
tourist	7.1	426	528	506
toward	6.2	359	172	601
toxic	7.9	480	511	472
toxin	10.6	663	315	423
trace	6.5	380	239	480
tractor	4.5	240	655	425
traffic	5.4	291	599	621
tragic	8	492	288	494
trailer	7	407	538	477
trainer	6.2	345	602	575
traitor	8.1	495	300	454
trample	7	400	335	460
transit	9	540	293	438
trap	5.3	296	469	486
trauma	9.1	553	403	460
tray	5.1	282	499	542
tread	6.4	359	351	504
treason	8.6	519	257	405
treble	8.5	513	252	442
tree	3.6	171	644	565
trench	8.6	532	475	432
trend	8.2	488	260	540
tribe	7.1	401	505	447
tribute	8.9	540	300	475
trimmer	6.9	394	384	408
trinket	8.1	484	450	402
trio	7.5	439	453	441
triple	7.2	426	327	509
trophy	6.4	368	617	447
trot	6.5	374	425	439
trouser	4.3	232	655	628
truck	4.9	261	590	484
trustee	11.6	700	205	415
tube	5.9	337	548	523
tulip	6.1	354	632	432
tumbler	7.5	449	553	463
tune	5.4	291	420	558
turban	8.3	507	576	411
turf	8	488	520	452
twelfth	5.9	328	343	501
twice	4.9	260	223	613
twin	5.2	307	543	490
unique	7.5	433	239	502
unite	7.8	466	327	482
upgrade	8.9	531	284	505
upheld	9.2	560	192	447
uplift	8.7	540	295	445
upward	5.4	310	238	509
urge	7.7	453	274	516
urgent	6.8	400	285	516
urine	7.8	466	575	479
useful	6.2	339	217	621
useless	6.2	349	220	600
vacant	7.7	456	263	506
vaccine	8.3	492	409	437
vague	8.6	518	225	517
vain	8	488	305	502
vandal	7.9	480	450	460
vanish	5.6	315	384	486
vary	7.8	469	172	510
vast	7.7	463	366	479
veal	9.6	581	396	395
vehicle	5.8	333	619	541
vein	7.4	435	511	506
verge	8	495	415	466
version	7.5	446	213	527
versus	7.1	420	170	496
vest	4.8	263	571	475
vicar	5.7	327	570	449
vicious	7.7	469	344	482
virile	12.1	700	230	367
visa	10.1	616	473	542
visit	4.6	229	279	591
void	8.8	531	274	439
vomit	7.4	438	580	513
voter	8.1	477	257	488
vowel	6.8	393	330	508
wagon	6.3	353	576	450
wake	4.6	241	366	617
wallet	5.5	305	605	618
ward	6.8	400	473	439
warmth	5.4	315	449	566
warn	5.9	328	301	534
warrant	9.2	560	232	434
wave	4.8	260	594	551
weak	5.5	317	311	549
wealth	7.6	452	400	510
wedge	7.4	438	446	490
weed	6.1	349	575	495
weigh	5.7	315	384	553
weight	5.9	333	373	592
weird	6.3	345	279	621
welfare	9.7	616	258	495
wheel	3.9	214	622	530
whether	6.9	407	154	634
whimper	7.5	446	338	417
wigwam	7.3	433	523	339
wild	6	345	341	544
wilt	8	484	432	447
wing	4.7	246	576	485
wire	5.6	314	562	473
wise	6.9	400	320	502
wither	8.6	533	348	426
witty	8.7	538	307	503
woke	5.4	291	280	617
womb	8.3	498	461	451
wonky	5.7	319	403	499
worn	5.9	320	400	510
worse	5.5	302	238	607
worship	6.9	415	445	464
wrap	5.2	283	418	513
wrath	10.6	663	279	426
wrist	5.2	282	553	539
yeast	8.1	492	427	458
yield	9.9	626	300	439
yoga	10.4	656	515	479
zero	4.6	239	485	520
false	6	353	230	530
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
